编号,人群,总分档,短板维度,画像名称,页面相对地址,图片相对地址,GitHub Pages页面地址示例,GitHub Pages图片直链示例
F01,健康主理人,优秀,会买,家庭采购总指挥,cards/family-01.html,assets/images/family-01.png,https://你的用户名.github.io/你的仓库名/cards/family-01.html,https://你的用户名.github.io/你的仓库名/assets/images/family-01.png
F02,健康主理人,优秀,会存,厨房秩序大师,cards/family-02.html,assets/images/family-02.png,https://你的用户名.github.io/你的仓库名/cards/family-02.html,https://你的用户名.github.io/你的仓库名/assets/images/family-02.png
F03,健康主理人,优秀,会做,料理之心,cards/family-03.html,assets/images/family-03.png,https://你的用户名.github.io/你的仓库名/cards/family-03.html,https://你的用户名.github.io/你的仓库名/assets/images/family-03.png
F04,健康主理人,优秀,会吃,餐桌策展人,cards/family-04.html,assets/images/family-04.png,https://你的用户名.github.io/你的仓库名/cards/family-04.html,https://你的用户名.github.io/你的仓库名/assets/images/family-04.png
F05,健康主理人,优秀,会判断,信息守门员,cards/family-05.html,assets/images/family-05.png,https://你的用户名.github.io/你的仓库名/cards/family-05.html,https://你的用户名.github.io/你的仓库名/assets/images/family-05.png
F06,健康主理人,良好,会买,进阶家庭采购员,cards/family-06.html,assets/images/family-06.png,https://你的用户名.github.io/你的仓库名/cards/family-06.html,https://你的用户名.github.io/你的仓库名/assets/images/family-06.png
F07,健康主理人,良好,会存,厨房管家,cards/family-07.html,assets/images/family-07.png,https://你的用户名.github.io/你的仓库名/cards/family-07.html,https://你的用户名.github.io/你的仓库名/assets/images/family-07.png
F08,健康主理人,良好,会做,稳健的掌勺人,cards/family-08.html,assets/images/family-08.png,https://你的用户名.github.io/你的仓库名/cards/family-08.html,https://你的用户名.github.io/你的仓库名/assets/images/family-08.png
F09,健康主理人,良好,会吃,膳食搭配能手,cards/family-09.html,assets/images/family-09.png,https://你的用户名.github.io/你的仓库名/cards/family-09.html,https://你的用户名.github.io/你的仓库名/assets/images/family-09.png
F10,健康主理人,良好,会判断,理性消费者,cards/family-10.html,assets/images/family-10.png,https://你的用户名.github.io/你的仓库名/cards/family-10.html,https://你的用户名.github.io/你的仓库名/assets/images/family-10.png
F11,健康主理人,觉醒,会买,觉醒中的采购者,cards/family-11.html,assets/images/family-11.png,https://你的用户名.github.io/你的仓库名/cards/family-11.html,https://你的用户名.github.io/你的仓库名/assets/images/family-11.png
F12,健康主理人,觉醒,会存,整理意识在路上,cards/family-12.html,assets/images/family-12.png,https://你的用户名.github.io/你的仓库名/cards/family-12.html,https://你的用户名.github.io/你的仓库名/assets/images/family-12.png
F13,健康主理人,觉醒,会做,成长中的掌勺人,cards/family-13.html,assets/images/family-13.png,https://你的用户名.github.io/你的仓库名/cards/family-13.html,https://你的用户名.github.io/你的仓库名/assets/images/family-13.png
F14,健康主理人,觉醒,会吃,膳食初学者,cards/family-14.html,assets/images/family-14.png,https://你的用户名.github.io/你的仓库名/cards/family-14.html,https://你的用户名.github.io/你的仓库名/assets/images/family-14.png
F15,健康主理人,觉醒,会判断,易被打动的家长,cards/family-15.html,assets/images/family-15.png,https://你的用户名.github.io/你的仓库名/cards/family-15.html,https://你的用户名.github.io/你的仓库名/assets/images/family-15.png
F16,健康主理人,入门,会买,新手家庭采购者,cards/family-16.html,assets/images/family-16.png,https://你的用户名.github.io/你的仓库名/cards/family-16.html,https://你的用户名.github.io/你的仓库名/assets/images/family-16.png
F17,健康主理人,入门,会存,厨房秩序新探索,cards/family-17.html,assets/images/family-17.png,https://你的用户名.github.io/你的仓库名/cards/family-17.html,https://你的用户名.github.io/你的仓库名/assets/images/family-17.png
F18,健康主理人,入门,会做,厨房新生,cards/family-18.html,assets/images/family-18.png,https://你的用户名.github.io/你的仓库名/cards/family-18.html,https://你的用户名.github.io/你的仓库名/assets/images/family-18.png
F19,健康主理人,入门,会吃,膳食新探索,cards/family-19.html,assets/images/family-19.png,https://你的用户名.github.io/你的仓库名/cards/family-19.html,https://你的用户名.github.io/你的仓库名/assets/images/family-19.png
F20,健康主理人,入门,会判断,判断力的萌芽,cards/family-20.html,assets/images/family-20.png,https://你的用户名.github.io/你的仓库名/cards/family-20.html,https://你的用户名.github.io/你的仓库名/assets/images/family-20.png
W01,体重管理人群,优秀,会买,理性购物者,cards/weight-01.html,assets/images/weight-01.png,https://你的用户名.github.io/你的仓库名/cards/weight-01.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-01.png
W02,体重管理人群,优秀,会存,餐盒管家,cards/weight-02.html,assets/images/weight-02.png,https://你的用户名.github.io/你的仓库名/cards/weight-02.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-02.png
W03,体重管理人群,优秀,会做,热量魔法师,cards/weight-03.html,assets/images/weight-03.png,https://你的用户名.github.io/你的仓库名/cards/weight-03.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-03.png
W04,体重管理人群,优秀,会吃,节奏管理者,cards/weight-04.html,assets/images/weight-04.png,https://你的用户名.github.io/你的仓库名/cards/weight-04.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-04.png
W05,体重管理人群,优秀,会判断,网红法的免疫者,cards/weight-05.html,assets/images/weight-05.png,https://你的用户名.github.io/你的仓库名/cards/weight-05.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-05.png
W06,体重管理人群,良好,会买,进阶减脂购物者,cards/weight-06.html,assets/images/weight-06.png,https://你的用户名.github.io/你的仓库名/cards/weight-06.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-06.png
W07,体重管理人群,良好,会存,靠谱餐盒人,cards/weight-07.html,assets/images/weight-07.png,https://你的用户名.github.io/你的仓库名/cards/weight-07.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-07.png
W08,体重管理人群,良好,会做,稳健减脂厨师,cards/weight-08.html,assets/images/weight-08.png,https://你的用户名.github.io/你的仓库名/cards/weight-08.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-08.png
W09,体重管理人群,良好,会吃,节奏稳定者,cards/weight-09.html,assets/images/weight-09.png,https://你的用户名.github.io/你的仓库名/cards/weight-09.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-09.png
W10,体重管理人群,良好,会判断,保持警觉的减脂者,cards/weight-10.html,assets/images/weight-10.png,https://你的用户名.github.io/你的仓库名/cards/weight-10.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-10.png
W11,体重管理人群,觉醒,会买,觉醒中的减脂购物,cards/weight-11.html,assets/images/weight-11.png,https://你的用户名.github.io/你的仓库名/cards/weight-11.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-11.png
W12,体重管理人群,觉醒,会存,在路上的食材管理,cards/weight-12.html,assets/images/weight-12.png,https://你的用户名.github.io/你的仓库名/cards/weight-12.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-12.png
W13,体重管理人群,觉醒,会做,厨房成长中,cards/weight-13.html,assets/images/weight-13.png,https://你的用户名.github.io/你的仓库名/cards/weight-13.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-13.png
W14,体重管理人群,觉醒,会吃,节奏寻找者,cards/weight-14.html,assets/images/weight-14.png,https://你的用户名.github.io/你的仓库名/cards/weight-14.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-14.png
W15,体重管理人群,觉醒,会判断,易被打动的减脂者,cards/weight-15.html,assets/images/weight-15.png,https://你的用户名.github.io/你的仓库名/cards/weight-15.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-15.png
W16,体重管理人群,入门,会买,减脂购物新手,cards/weight-16.html,assets/images/weight-16.png,https://你的用户名.github.io/你的仓库名/cards/weight-16.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-16.png
W17,体重管理人群,入门,会存,餐盒新探索,cards/weight-17.html,assets/images/weight-17.png,https://你的用户名.github.io/你的仓库名/cards/weight-17.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-17.png
W18,体重管理人群,入门,会做,厨房新手,cards/weight-18.html,assets/images/weight-18.png,https://你的用户名.github.io/你的仓库名/cards/weight-18.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-18.png
W19,体重管理人群,入门,会吃,膳食新探索,cards/weight-19.html,assets/images/weight-19.png,https://你的用户名.github.io/你的仓库名/cards/weight-19.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-19.png
W20,体重管理人群,入门,会判断,判断力的起步,cards/weight-20.html,assets/images/weight-20.png,https://你的用户名.github.io/你的仓库名/cards/weight-20.html,https://你的用户名.github.io/你的仓库名/assets/images/weight-20.png
C01,慢病管理人群,优秀,会买,慢病采购老司机,cards/chronic-01.html,assets/images/chronic-01.png,https://你的用户名.github.io/你的仓库名/cards/chronic-01.html,https://你的用户名.github.io/你的仓库名/assets/images/chronic-01.png
C02,慢病管理人群,优秀,会存,定量工具达人,cards/chronic-02.html,assets/images/chronic-02.png,https://你的用户名.github.io/你的仓库名/cards/chronic-02.html,https://你的用户名.github.io/你的仓库名/assets/images/chronic-02.png
C03,慢病管理人群,优秀,会做,低盐低油大师,cards/chronic-03.html,assets/images/chronic-03.png,https://你的用户名.github.io/你的仓库名/cards/chronic-03.html,https://你的用户名.github.io/你的仓库名/assets/images/chronic-03.png
C04,慢病管理人群,优秀,会吃,餐后生活管理者,cards/chronic-04.html,assets/images/chronic-04.png,https://你的用户名.github.io/你的仓库名/cards/chronic-04.html,https://你的用户名.github.io/你的仓库名/assets/images/chronic-04.png
C05,慢病管理人群,优秀,会判断,防骗高手,cards/chronic-05.html,assets/images/chronic-05.png,https://你的用户名.github.io/你的仓库名/cards/chronic-05.html,https://你的用户名.github.io/你的仓库名/assets/images/chronic-05.png
C06,慢病管理人群,良好,会买,进阶慢病选品人,cards/chronic-06.html,assets/images/chronic-06.png,https://你的用户名.github.io/你的仓库名/cards/chronic-06.html,https://你的用户名.github.io/你的仓库名/assets/images/chronic-06.png
C07,慢病管理人群,良好,会存,工具使用者,cards/chronic-07.html,assets/images/chronic-07.png,https://你的用户名.github.io/你的仓库名/cards/chronic-07.html,https://你的用户名.github.io/你的仓库名/assets/images/chronic-07.png
C08,慢病管理人群,良好,会做,稳健减盐厨师,cards/chronic-08.html,assets/images/chronic-08.png,https://你的用户名.github.io/你的仓库名/cards/chronic-08.html,https://你的用户名.github.io/你的仓库名/assets/images/chronic-08.png
C09,慢病管理人群,良好,会吃,饮食控糖者,cards/chronic-09.html,assets/images/chronic-09.png,https://你的用户名.github.io/你的仓库名/cards/chronic-09.html,https://你的用户名.github.io/你的仓库名/assets/images/chronic-09.png
C10,慢病管理人群,良好,会判断,理性慢病管理者,cards/chronic-10.html,assets/images/chronic-10.png,https://你的用户名.github.io/你的仓库名/cards/chronic-10.html,https://你的用户名.github.io/你的仓库名/assets/images/chronic-10.png
C11,慢病管理人群,觉醒,会买,觉醒中的慢病选品,cards/chronic-11.html,assets/images/chronic-11.png,https://你的用户名.github.io/你的仓库名/cards/chronic-11.html,https://你的用户名.github.io/你的仓库名/assets/images/chronic-11.png
C12,慢病管理人群,觉醒,会存,工具觉醒者,cards/chronic-12.html,assets/images/chronic-12.png,https://你的用户名.github.io/你的仓库名/cards/chronic-12.html,https://你的用户名.github.io/你的仓库名/assets/images/chronic-12.png
C13,慢病管理人群,觉醒,会做,调味改革中,cards/chronic-13.html,assets/images/chronic-13.png,https://你的用户名.github.io/你的仓库名/cards/chronic-13.html,https://你的用户名.github.io/你的仓库名/assets/images/chronic-13.png
C14,慢病管理人群,觉醒,会吃,饮食结构调整中,cards/chronic-14.html,assets/images/chronic-14.png,https://你的用户名.github.io/你的仓库名/cards/chronic-14.html,https://你的用户名.github.io/你的仓库名/assets/images/chronic-14.png
C15,慢病管理人群,觉醒,会判断,易被亲友说动者,cards/chronic-15.html,assets/images/chronic-15.png,https://你的用户名.github.io/你的仓库名/cards/chronic-15.html,https://你的用户名.github.io/你的仓库名/assets/images/chronic-15.png
C16,慢病管理人群,入门,会买,慢病采购新探索,cards/chronic-16.html,assets/images/chronic-16.png,https://你的用户名.github.io/你的仓库名/cards/chronic-16.html,https://你的用户名.github.io/你的仓库名/assets/images/chronic-16.png
C17,慢病管理人群,入门,会存,厨房工具新手,cards/chronic-17.html,assets/images/chronic-17.png,https://你的用户名.github.io/你的仓库名/cards/chronic-17.html,https://你的用户名.github.io/你的仓库名/assets/images/chronic-17.png
C18,慢病管理人群,入门,会做,调味新手,cards/chronic-18.html,assets/images/chronic-18.png,https://你的用户名.github.io/你的仓库名/cards/chronic-18.html,https://你的用户名.github.io/你的仓库名/assets/images/chronic-18.png
C19,慢病管理人群,入门,会吃,饮食新探索,cards/chronic-19.html,assets/images/chronic-19.png,https://你的用户名.github.io/你的仓库名/cards/chronic-19.html,https://你的用户名.github.io/你的仓库名/assets/images/chronic-19.png
C20,慢病管理人群,入门,会判断,判断力新生,cards/chronic-20.html,assets/images/chronic-20.png,https://你的用户名.github.io/你的仓库名/cards/chronic-20.html,https://你的用户名.github.io/你的仓库名/assets/images/chronic-20.png
E01,老年人群,优秀,会买,采购明白人,cards/elderly-01.html,assets/images/elderly-01.png,https://你的用户名.github.io/你的仓库名/cards/elderly-01.html,https://你的用户名.github.io/你的仓库名/assets/images/elderly-01.png
E02,老年人群,优秀,会存,厨房秩序长者,cards/elderly-02.html,assets/images/elderly-02.png,https://你的用户名.github.io/你的仓库名/cards/elderly-02.html,https://你的用户名.github.io/你的仓库名/assets/images/elderly-02.png
E03,老年人群,优秀,会做,细嚼慢咽的厨者,cards/elderly-03.html,assets/images/elderly-03.png,https://你的用户名.github.io/你的仓库名/cards/elderly-03.html,https://你的用户名.github.io/你的仓库名/assets/images/elderly-03.png
E04,老年人群,优秀,会吃,三餐稳定者,cards/elderly-04.html,assets/images/elderly-04.png,https://你的用户名.github.io/你的仓库名/cards/elderly-04.html,https://你的用户名.github.io/你的仓库名/assets/images/elderly-04.png
E05,老年人群,优秀,会判断,防骗老手,cards/elderly-05.html,assets/images/elderly-05.png,https://你的用户名.github.io/你的仓库名/cards/elderly-05.html,https://你的用户名.github.io/你的仓库名/assets/images/elderly-05.png
E06,老年人群,良好,会买,进阶采购者,cards/elderly-06.html,assets/images/elderly-06.png,https://你的用户名.github.io/你的仓库名/cards/elderly-06.html,https://你的用户名.github.io/你的仓库名/assets/images/elderly-06.png
E07,老年人群,良好,会存,稳健的冰箱管家,cards/elderly-07.html,assets/images/elderly-07.png,https://你的用户名.github.io/你的仓库名/cards/elderly-07.html,https://你的用户名.github.io/你的仓库名/assets/images/elderly-07.png
E08,老年人群,良好,会做,适老厨师,cards/elderly-08.html,assets/images/elderly-08.png,https://你的用户名.github.io/你的仓库名/cards/elderly-08.html,https://你的用户名.github.io/你的仓库名/assets/images/elderly-08.png
E09,老年人群,良好,会吃,饮食稳定者,cards/elderly-09.html,assets/images/elderly-09.png,https://你的用户名.github.io/你的仓库名/cards/elderly-09.html,https://你的用户名.github.io/你的仓库名/assets/images/elderly-09.png
E10,老年人群,良好,会判断,理性长者,cards/elderly-10.html,assets/images/elderly-10.png,https://你的用户名.github.io/你的仓库名/cards/elderly-10.html,https://你的用户名.github.io/你的仓库名/assets/images/elderly-10.png
E11,老年人群,觉醒,会买,觉醒中的采购者,cards/elderly-11.html,assets/images/elderly-11.png,https://你的用户名.github.io/你的仓库名/cards/elderly-11.html,https://你的用户名.github.io/你的仓库名/assets/images/elderly-11.png
E12,老年人群,觉醒,会存,勤俭的冰箱主人,cards/elderly-12.html,assets/images/elderly-12.png,https://你的用户名.github.io/你的仓库名/cards/elderly-12.html,https://你的用户名.github.io/你的仓库名/assets/images/elderly-12.png
E13,老年人群,觉醒,会做,厨房成长者,cards/elderly-13.html,assets/images/elderly-13.png,https://你的用户名.github.io/你的仓库名/cards/elderly-13.html,https://你的用户名.github.io/你的仓库名/assets/images/elderly-13.png
E14,老年人群,觉醒,会吃,饮食意识醒来,cards/elderly-14.html,assets/images/elderly-14.png,https://你的用户名.github.io/你的仓库名/cards/elderly-14.html,https://你的用户名.github.io/你的仓库名/assets/images/elderly-14.png
E15,老年人群,觉醒,会判断,易被讲座打动者,cards/elderly-15.html,assets/images/elderly-15.png,https://你的用户名.github.io/你的仓库名/cards/elderly-15.html,https://你的用户名.github.io/你的仓库名/assets/images/elderly-15.png
E16,老年人群,入门,会买,采购新探索,cards/elderly-16.html,assets/images/elderly-16.png,https://你的用户名.github.io/你的仓库名/cards/elderly-16.html,https://你的用户名.github.io/你的仓库名/assets/images/elderly-16.png
E17,老年人群,入门,会存,冰箱整理新手,cards/elderly-17.html,assets/images/elderly-17.png,https://你的用户名.github.io/你的仓库名/cards/elderly-17.html,https://你的用户名.github.io/你的仓库名/assets/images/elderly-17.png
E18,老年人群,入门,会做,厨房改革新手,cards/elderly-18.html,assets/images/elderly-18.png,https://你的用户名.github.io/你的仓库名/cards/elderly-18.html,https://你的用户名.github.io/你的仓库名/assets/images/elderly-18.png
E19,老年人群,入门,会吃,三餐新探索,cards/elderly-19.html,assets/images/elderly-19.png,https://你的用户名.github.io/你的仓库名/cards/elderly-19.html,https://你的用户名.github.io/你的仓库名/assets/images/elderly-19.png
E20,老年人群,入门,会判断,判断力的觉醒,cards/elderly-20.html,assets/images/elderly-20.png,https://你的用户名.github.io/你的仓库名/cards/elderly-20.html,https://你的用户名.github.io/你的仓库名/assets/images/elderly-20.png
P01,孕育人群,优秀,会买,孕期采购明白人,cards/pregnancy-01.html,assets/images/pregnancy-01.png,https://你的用户名.github.io/你的仓库名/cards/pregnancy-01.html,https://你的用户名.github.io/你的仓库名/assets/images/pregnancy-01.png
P02,孕育人群,优秀,会存,孕期食安管家,cards/pregnancy-02.html,assets/images/pregnancy-02.png,https://你的用户名.github.io/你的仓库名/cards/pregnancy-02.html,https://你的用户名.github.io/你的仓库名/assets/images/pregnancy-02.png
P03,孕育人群,优秀,会做,彻底加热的守护者,cards/pregnancy-03.html,assets/images/pregnancy-03.png,https://你的用户名.github.io/你的仓库名/cards/pregnancy-03.html,https://你的用户名.github.io/你的仓库名/assets/images/pregnancy-03.png
P04,孕育人群,优秀,会吃,孕期营养策展人,cards/pregnancy-04.html,assets/images/pregnancy-04.png,https://你的用户名.github.io/你的仓库名/cards/pregnancy-04.html,https://你的用户名.github.io/你的仓库名/assets/images/pregnancy-04.png
P05,孕育人群,优秀,会判断,孕期信息守门员,cards/pregnancy-05.html,assets/images/pregnancy-05.png,https://你的用户名.github.io/你的仓库名/cards/pregnancy-05.html,https://你的用户名.github.io/你的仓库名/assets/images/pregnancy-05.png
P06,孕育人群,良好,会买,进阶孕期采购者,cards/pregnancy-06.html,assets/images/pregnancy-06.png,https://你的用户名.github.io/你的仓库名/cards/pregnancy-06.html,https://你的用户名.github.io/你的仓库名/assets/images/pregnancy-06.png
P07,孕育人群,良好,会存,孕期食安实践者,cards/pregnancy-07.html,assets/images/pregnancy-07.png,https://你的用户名.github.io/你的仓库名/cards/pregnancy-07.html,https://你的用户名.github.io/你的仓库名/assets/images/pregnancy-07.png
P08,孕育人群,良好,会做,稳健的孕妇厨者,cards/pregnancy-08.html,assets/images/pregnancy-08.png,https://你的用户名.github.io/你的仓库名/cards/pregnancy-08.html,https://你的用户名.github.io/你的仓库名/assets/images/pregnancy-08.png
P09,孕育人群,良好,会吃,营养稳定者,cards/pregnancy-09.html,assets/images/pregnancy-09.png,https://你的用户名.github.io/你的仓库名/cards/pregnancy-09.html,https://你的用户名.github.io/你的仓库名/assets/images/pregnancy-09.png
P10,孕育人群,良好,会判断,理性孕妇,cards/pregnancy-10.html,assets/images/pregnancy-10.png,https://你的用户名.github.io/你的仓库名/cards/pregnancy-10.html,https://你的用户名.github.io/你的仓库名/assets/images/pregnancy-10.png
P11,孕育人群,觉醒,会买,觉醒中的孕妇采购,cards/pregnancy-11.html,assets/images/pregnancy-11.png,https://你的用户名.github.io/你的仓库名/cards/pregnancy-11.html,https://你的用户名.github.io/你的仓库名/assets/images/pregnancy-11.png
P12,孕育人群,觉醒,会存,孕期食安觉醒者,cards/pregnancy-12.html,assets/images/pregnancy-12.png,https://你的用户名.github.io/你的仓库名/cards/pregnancy-12.html,https://你的用户名.github.io/你的仓库名/assets/images/pregnancy-12.png
P13,孕育人群,觉醒,会做,孕期厨房成长中,cards/pregnancy-13.html,assets/images/pregnancy-13.png,https://你的用户名.github.io/你的仓库名/cards/pregnancy-13.html,https://你的用户名.github.io/你的仓库名/assets/images/pregnancy-13.png
P14,孕育人群,觉醒,会吃,孕期饮食寻路者,cards/pregnancy-14.html,assets/images/pregnancy-14.png,https://你的用户名.github.io/你的仓库名/cards/pregnancy-14.html,https://你的用户名.github.io/你的仓库名/assets/images/pregnancy-14.png
P15,孕育人群,觉醒,会判断,易被亲友打动者,cards/pregnancy-15.html,assets/images/pregnancy-15.png,https://你的用户名.github.io/你的仓库名/cards/pregnancy-15.html,https://你的用户名.github.io/你的仓库名/assets/images/pregnancy-15.png
P16,孕育人群,入门,会买,孕期采购新探索,cards/pregnancy-16.html,assets/images/pregnancy-16.png,https://你的用户名.github.io/你的仓库名/cards/pregnancy-16.html,https://你的用户名.github.io/你的仓库名/assets/images/pregnancy-16.png
P17,孕育人群,入门,会存,孕期厨房新手,cards/pregnancy-17.html,assets/images/pregnancy-17.png,https://你的用户名.github.io/你的仓库名/cards/pregnancy-17.html,https://你的用户名.github.io/你的仓库名/assets/images/pregnancy-17.png
P18,孕育人群,入门,会做,孕期烹调新手,cards/pregnancy-18.html,assets/images/pregnancy-18.png,https://你的用户名.github.io/你的仓库名/cards/pregnancy-18.html,https://你的用户名.github.io/你的仓库名/assets/images/pregnancy-18.png
P19,孕育人群,入门,会吃,孕期营养新探索,cards/pregnancy-19.html,assets/images/pregnancy-19.png,https://你的用户名.github.io/你的仓库名/cards/pregnancy-19.html,https://你的用户名.github.io/你的仓库名/assets/images/pregnancy-19.png
P20,孕育人群,入门,会判断,判断力的起步,cards/pregnancy-20.html,assets/images/pregnancy-20.png,https://你的用户名.github.io/你的仓库名/cards/pregnancy-20.html,https://你的用户名.github.io/你的仓库名/assets/images/pregnancy-20.png
K01,青少年与儿童,优秀,会买,校园营养小老师,cards/children-01.html,assets/images/children-01.png,https://你的用户名.github.io/你的仓库名/cards/children-01.html,https://你的用户名.github.io/你的仓库名/assets/images/children-01.png
K02,青少年与儿童,优秀,会存,保鲜小达人,cards/children-02.html,assets/images/children-02.png,https://你的用户名.github.io/你的仓库名/cards/children-02.html,https://你的用户名.github.io/你的仓库名/assets/images/children-02.png
K03,青少年与儿童,优秀,会做,厨房小匠人,cards/children-03.html,assets/images/children-03.png,https://你的用户名.github.io/你的仓库名/cards/children-03.html,https://你的用户名.github.io/你的仓库名/assets/images/children-03.png
K04,青少年与儿童,优秀,会吃,饮食小当家,cards/children-04.html,assets/images/children-04.png,https://你的用户名.github.io/你的仓库名/cards/children-04.html,https://你的用户名.github.io/你的仓库名/assets/images/children-04.png
K05,青少年与儿童,优秀,会判断,网络小侦探,cards/children-05.html,assets/images/children-05.png,https://你的用户名.github.io/你的仓库名/cards/children-05.html,https://你的用户名.github.io/你的仓库名/assets/images/children-05.png
K06,青少年与儿童,良好,会买,进步中的小消费者,cards/children-06.html,assets/images/children-06.png,https://你的用户名.github.io/你的仓库名/cards/children-06.html,https://你的用户名.github.io/你的仓库名/assets/images/children-06.png
K07,青少年与儿童,良好,会存,稳健的食物管家,cards/children-07.html,assets/images/children-07.png,https://你的用户名.github.io/你的仓库名/cards/children-07.html,https://你的用户名.github.io/你的仓库名/assets/images/children-07.png
K08,青少年与儿童,良好,会做,成长中的小厨师,cards/children-08.html,assets/images/children-08.png,https://你的用户名.github.io/你的仓库名/cards/children-08.html,https://你的用户名.github.io/你的仓库名/assets/images/children-08.png
K09,青少年与儿童,良好,会吃,饮食稳定者,cards/children-09.html,assets/images/children-09.png,https://你的用户名.github.io/你的仓库名/cards/children-09.html,https://你的用户名.github.io/你的仓库名/assets/images/children-09.png
K10,青少年与儿童,良好,会判断,保持警觉的小用户,cards/children-10.html,assets/images/children-10.png,https://你的用户名.github.io/你的仓库名/cards/children-10.html,https://你的用户名.github.io/你的仓库名/assets/images/children-10.png
K11,青少年与儿童,觉醒,会买,觉醒中的小消费者,cards/children-11.html,assets/images/children-11.png,https://你的用户名.github.io/你的仓库名/cards/children-11.html,https://你的用户名.github.io/你的仓库名/assets/images/children-11.png
K12,青少年与儿童,觉醒,会存,保鲜意识在路上,cards/children-12.html,assets/images/children-12.png,https://你的用户名.github.io/你的仓库名/cards/children-12.html,https://你的用户名.github.io/你的仓库名/assets/images/children-12.png
K13,青少年与儿童,觉醒,会做,厨房新手,cards/children-13.html,assets/images/children-13.png,https://你的用户名.github.io/你的仓库名/cards/children-13.html,https://你的用户名.github.io/你的仓库名/assets/images/children-13.png
K14,青少年与儿童,觉醒,会吃,饮食找方向,cards/children-14.html,assets/images/children-14.png,https://你的用户名.github.io/你的仓库名/cards/children-14.html,https://你的用户名.github.io/你的仓库名/assets/images/children-14.png
K15,青少年与儿童,觉醒,会判断,易被网红打动者,cards/children-15.html,assets/images/children-15.png,https://你的用户名.github.io/你的仓库名/cards/children-15.html,https://你的用户名.github.io/你的仓库名/assets/images/children-15.png
K16,青少年与儿童,入门,会买,小小购物新手,cards/children-16.html,assets/images/children-16.png,https://你的用户名.github.io/你的仓库名/cards/children-16.html,https://你的用户名.github.io/你的仓库名/assets/images/children-16.png
K17,青少年与儿童,入门,会存,保鲜新探索,cards/children-17.html,assets/images/children-17.png,https://你的用户名.github.io/你的仓库名/cards/children-17.html,https://你的用户名.github.io/你的仓库名/assets/images/children-17.png
K18,青少年与儿童,入门,会做,厨房新生,cards/children-18.html,assets/images/children-18.png,https://你的用户名.github.io/你的仓库名/cards/children-18.html,https://你的用户名.github.io/你的仓库名/assets/images/children-18.png
K19,青少年与儿童,入门,会吃,饮食新探索,cards/children-19.html,assets/images/children-19.png,https://你的用户名.github.io/你的仓库名/cards/children-19.html,https://你的用户名.github.io/你的仓库名/assets/images/children-19.png
K20,青少年与儿童,入门,会判断,判断力的萌芽,cards/children-20.html,assets/images/children-20.png,https://你的用户名.github.io/你的仓库名/cards/children-20.html,https://你的用户名.github.io/你的仓库名/assets/images/children-20.png
